aircraft_type,engine_type,issue_date,manufacturer,model,status,tailnum,type,year
Fixed Wing Multi-Engine,Turbo-Fan,"Oct 20, 0001",EMBRAER,EMB-145LR,Valid,N16981,Corporation,"1,999"
Fixed Wing Multi-Engine,Turbo-Fan,"Jun 19, 0098",BOEING,767-332,Valid,N169DZ,Corporation,"1,998"
Fixed Wing Multi-Engine,Turbo-Jet,"Aug 19, 0094",BOEING,757-224,Valid,N17105,Corporation,"1,994"
Fixed Wing Multi-Engine,Turbo-Jet,"Feb 20, 0098",BOEING,757-224,Valid,N17126,Corporation,"1,998"
Fixed Wing Multi-Engine,Turbo-Jet,"Feb 7, 0001",BOEING,757-224,Valid,N17139,Corporation,"2,000"
Fixed Wing Multi-Engine,Turbo-Fan,"Sep 1, 0004",EMBRAER,EMB-145XR,Valid,N17169,Corporation,"2,004"
Fixed Wing Multi-Engine,Turbo-Fan,"Jun 12, 0090",BOEING,767-332,Valid,N171DN,Corporation,"1,990"
Fixed Wing Multi-Engine,Turbo-Jet,"Jul 1, 0099",CANADAIR,CL-600-2B19,Valid,N17231,Corporation,"1,998"
Fixed Wing Multi-Engine,Turbo-Fan,"Dec 28, 0099",BOMBARDIER INC,CL-600-2B19,Valid,N17275,Corporation,"1,998"
Fixed Wing Multi-Engine,Turbo-Jet,"Feb 17, 0004",BOEING,737-3TO,Valid,N17321,Corporation,"1,986"
Fixed Wing Multi-Engine,Turbo-Fan,"Jul 3, 0001",BOMBARDIER INC,CL-600-2B19,Valid,N17337,Corporation,"1,999"
Fixed Wing Multi-Engine,Turbo-Fan,"Dec 29, 0001",BOMBARDIER INC,CL-600-2B19,Valid,N17358,Corporation,"2,011"
aircraft_type,engine_type,issue_date,manufacturer,model,status,tailnum,type,year
Fixed Wing Multi-Engine,Turbo-Fan,"Aug 19, 0004",BOEING,747-422,Valid,N173UA,Corporation,"1,989"
Fixed Wing Multi-Engine,Turbo-Fan,"Nov 6, 0098",BOEING,767-332,Valid,N174DZ,Corporation,"1,998"
Fixed Wing Multi-Engine,Turbo-Fan,"Oct 31, 0001",EMBRAER,EMB-135LR,Valid,N17513,Corporation,"2,000"
Fixed Wing Multi-Engine,Turbo-Fan,"Feb 3, 0005",BOEING,737-76N,Valid,N175AT,Corporation,"2,004"
Fixed Wing Multi-Engine,Turbo-Fan,"Feb 24, 0006",BOEING,747-422,Valid,N175UA,Corporation,"1,990"
Fixed Wing Multi-Engine,Turbo-Fan,"Aug 27, 0097",BOEING,737-524,Valid,N17640,Corporation,"1,997"
Fixed Wing Multi-Engine,Turbo-Fan,"Jan 8, 0091",BOEING,767-332,Valid,N176DN,Corporation,"1,990"
Fixed Wing Multi-Engine,Turbo-Jet,"Sep 23, 0099",BOEING,737-724,Valid,N17730,Corporation,"1,999"
Fixed Wing Multi-Engine,Turbo-Jet,"Aug 22, 0001",AIRBUS INDUSTRIE,A321-211,Valid,N177US,Corporation,"2,011"
Fixed Wing Multi-Engine,Turbo-Fan,"Dec 27, 0005",BOEING,747-422,Valid,N178UA,Corporation,"1,990"
Fixed Wing Multi-Engine,Turbo-Jet,"Dec 22, 0086",DOUGLAS,DC-9-31,Valid,N1799U,Corporation,"1,969"
Fixed Wing Multi-Engine,Turbo-Jet,"Jun 23, 0005",AIRBUS INDUSTRIE,A321-211,Valid,N179UW,Corporation,"2,001"
Fixed Wing Multi-Engine,Turbo-Fan,"Jun 18, 0099",AIRBUS INDUSTRIE,A320-214,Valid,N103US,Corporation,"1,999"
Fixed Wing Multi-Engine,Turbo-Jet,"Oct 15, 0007",BOEING,747-451,Valid,N105UA,Corporation,"1,994"
Fixed Wing Multi-Engine,Turbo-Fan,"Aug 17, 0099",AIRBUS INDUSTRIE,A320-214,Valid,N107US,Corporation,"1,999"
Fixed Wing Multi-Engine,Turbo-Fan,"Jun 25, 0003",EMBRAER,EMB-145XR,Valid,N11106,Corporation,"2,002"
Fixed Wing Multi-Engine,Turbo-Fan,"Jan 8, 0003",EMBRAER,EMB-145XR,Valid,N11119,Corporation,"2,002"
Fixed Wing Multi-Engine,Turbo-Fan,"Jun 16, 0003",EMBRAER,EMB-145XR,Valid,N11140,Corporation,"2,003"
Fixed Wing Multi-Engine,Turbo-Fan,"Jun 24, 0004",EMBRAER,EMB-145XR,Valid,N11165,Corporation,"2,004"
Fixed Wing Multi-Engine,Turbo-Fan,"Jul 13, 0005",EMBRAER,EMB-145XR,Valid,N11187,Corporation,"2,005"
Fixed Wing Multi-Engine,Turbo-Fan,"Oct 19, 0005",EMBRAER,EMB-145XR,Valid,N11193,Corporation,"2,005"
Fixed Wing Multi-Engine,Turbo-Fan,"Jul 27, 0001",BOEING,737-824,Valid,N11206,Corporation,"2,000"
Fixed Wing Multi-Engine,Turbo-Fan,"Apr 4, 0001",EMBRAER,EMB-135LR,Valid,N11526,Corporation,"2,001"
Fixed Wing Multi-Engine,Turbo-Fan,"May 30, 0002",EMBRAER,EMB-145LR,Valid,N11544,Corporation,"2,002"
Fixed Wing Multi-Engine,Turbo-Fan,"Aug 23, 0002",EMBRAER,EMB-145LR,Valid,N11565,Corporation,"2,002"
Fixed Wing Multi-Engine,Turbo-Fan,"Feb 22, 0008",BOEING,737-524,Valid,N11656,Corporation,"1,998"
Fixed Wing Multi-Engine,Turbo-Fan,"Sep 14, 0001",AIRBUS INDUSTRIE,A320-214,Valid,N118US,Corporation,"2,000"
Fixed Wing Multi-Engine,Turbo-Fan,"Apr 22, 0098",BOEING,767-332,Valid,N1201P,Corporation,"1,998"
aircraft_type,engine_type,issue_date,manufacturer,model,status,tailnum,type,year
Fixed Wing Multi-Engine,Turbo-Jet,"Mar 29, 0096",BOEING,757-224,Valid,N12116,Corporation,"1,996"
Fixed Wing Multi-Engine,Turbo-Fan,"May 7, 0003",EMBRAER,EMB-145XR,Valid,N12135,Corporation,"2,003"
Fixed Wing Multi-Engine,Turbo-Fan,"Feb 19, 0004",EMBRAER,EMB-145XR,Valid,N12157,Corporation,"2,004"
Fixed Wing Multi-Engine,Turbo-Fan,"Jul 29, 0004",EMBRAER,EMB-145XR,Valid,N12167,Corporation,"2,004"
Fixed Wing Multi-Engine,Turbo-Fan,"Jun 9, 0087",BOEING,767-332,Valid,N121DE,Corporation,"1,987"
Fixed Wing Multi-Engine,Turbo-Fan,"Aug 5, 0098",BOEING,737-824,Valid,N12216,Corporation,"1,998"
